Concerts, 0.024877945395166783%, 14000000
Dancehalls, 0.005686387518895265%, 3200000
Music festivals, 0.012438972697583392%, 7000000
Nightclubs, 0.015992964896892933%, 9000000
Parties, 0.019546957096202473%, 11000000
Plays, 0.013505170357376256%, 7600000
Theatre, 0.024877945395166783%, 14000000
Music, 0.36943748911822677%, 
Blues music, 0.019546957096202473%, 11000000
Classical music, 0.014749067627134594%, 8300000
Country music, 0.009240379718204806%, 5200000
Dance music, 0.011195075427825054%, 6300000
Electronic music, 0.03376292589344063%, 19000000
Gospel music, 0.008884980498273852%, 5000000
Heavy metal music, 0.023100949295512013%, 13000000
Hip hop music, 0.03553992199309541%, 20000000
Jazz music, 0.01439366840720364%, 8100000
Music videos, 0.049755890790333566%, 28000000
Pop music, 0.053309882989643106%, 30000000
Rhythm and blues music, 0.026654941494821553%, 15000000
Rock music, 0.0479788946906788%, 27000000
Soul music, 0.021323953195857243%, 12000000
Reading, 0.20290096865078097%, 
Books, 0.04442490249136926%, 25000000
Comics, 0.011550474647756007%, 6500000
Fiction books, 0.014038269187272684%, 7900000
Literature, 0.024877945395166783%, 14000000
Magazines, 0.030208933694131097%, 17000000
Manga, 0.013327470747410777%, 7500000
Mystery fiction, 0.007107984398619082%, 4000000
Newspapers, 0.03909391419240495%, 22000000
Non-fiction books, 0.00014571368017169117%, 82000
Romance novels, 0.004975589079033357%, 2800000
eBooks, 0.0131497711374453%, 7400000
Television programme, 2.8333101071413527%, 
TV chat shows, 0.0026654941494821554%, 1500000
TV comedies, 0.0030208933694131097%, 1700000
TV game shows, 0.00781878283848099%, 4400000
TV reality shows, 0.023100949295512013%, 13000000
Dating, 0.019546957096202473%, 11000000
Family, 0.0835188166837742%, 47000000
Fatherhood, 0.024877945395166783%, 14000000
Friendship, 0.06930284788653604%, 39000000
Marriage, 0.007463383618550036%, 4200000
Motherhood, 0.03909391419240495%, 22000000
Parenting, 0.0024877945395166785%, 1400000
Weddings, 0.013682869967341731%, 7700000
Bodybuilding, 0.004442490249136926%, 2500000
Meditation, 0.01723686216665127%, 9700000
Physical exercise, 0.030208933694131097%, 17000000
Physical fitness, 0.026654941494821553%, 15000000
Running, 0.007463383618550036%, 4200000
Weight training, 0.004264790639171449%, 2400000
Yoga, 0.011905873867686961%, 6700000
Alcoholic drink, 0.06930284788653604%, 
Beer, 0.03376292589344063%, 19000000
Distilled drinks, 0.017769960996547703%, 10000000
Wine, 0.017769960996547703%, 10000000
Cooking, 0.03607302082299184%, 
Baking, 0.009418079328170282%, 5300000
Recipes, 0.026654941494821553%, 15000000
Cuisine, 0.042594596508724845%, 
Chinese cuisine, 0.0030208933694131097%, 1700000
French Cuisine, 0.0023100949295512016%, 1300000
