Restaurants, 45.884799733485856%, 1162468000
Coffeehouses, 0.43419070208241806%, 11000000
Diners, 0.05526063481048957%, 1400000
Fast casual restaurants, 0.023288410384420605%, 590000
Fast food restaurants, 0.036314131446893154%, 920000
Arts and music, 5.289232189004002%, 134000000
Acting, 0.15394033982922095%, 3900000
Crafts, 0.22498972744270757%, 5700000
Dance, 0.9867970501873139%, 25000000
Drawing, 0.18157065723446575%, 4600000
Drums, 0.08683814041648362%, 2200000
Fine art, 0.06315501121198808%, 1600000
Guitar, 0.12631002242397615%, 3200000
Painting, 0.3947188200749256%, 10000000
Performing arts, 0.4736625840899106%, 12000000
Photography, 1.3420439882547468%, 34000000
Sculpture, 0.14999315162847168%, 3800000
Singing, 0.43419070208241806%, 11000000
Writing, 0.6710219941273734%, 17000000
Current events, 0.9078532861723286%, 23000000
Home and garden, 1.5275618336899617%, 38700000
DIY, 0.051313446609740326%, 1300000
Do it yourself (DIY), 0.22893691564345678%, 5800000
Furniture, 0.5526063481048957%, 14000000
Gardening, 0.5920782301123884%, 15000000
Home appliances, 0.10262689321948065%, 2600000
Pets, 2.289369156434568%, 58000000
Birds, 0.35524693806743296%, 9000000
Cats, 0.5131344660974032%, 13000000
Dogs, 0.6710219941273734%, 17000000
Fish, 0.2447256684464538%, 6200000
Horses, 0.28814473865469564%, 7300000
Pet food, 0.014604596342772246%, 370000
Rabbits, 0.16578190443146873%, 4200000
Reptiles, 0.036708850266968074%, 930000
Politics and social issues, 2.9564439623611922%, 74900000
Charity and causes, 0.03236694324614389%, 820000
Community issues, 0.43419070208241806%, 11000000
Environmentalism, 0.047366258408991065%, 1200000
Law, 0.6710219941273734%, 17000000
Military, 0.2920919268554449%, 7400000
Politics, 0.5131344660974032%, 13000000
Religion, 0.7894376401498512%, 20000000
Sustainability, 0.11841564602247764%, 3000000
Veterans, 0.00710493876134866%, 180000
Volunteering, 0.051313446609740326%, 1300000
Travel, 5.1116087199702855%, 129500000
Adventure travel, 0.13815158702622393%, 3500000
Air travel, 0.33156380886293746%, 8400000
Beaches, 0.5526063481048957%, 14000000
Car rentals, 0.12631002242397615%, 3200000
Cruises, 0.12631002242397615%, 3200000
Ecotourism, 0.185517845435215%, 4700000
Holidays, 0.4736625840899106%, 12000000
Hotels, 0.6315501121198808%, 16000000
Lakes, 0.1973594100374628%, 5000000
Mountains, 0.29998630325694337%, 7600000
Nature, 0.9473251681798212%, 24000000
Theme parks, 0.1934122218367135%, 4900000
Tourism, 0.9078532861723286%, 23000000
Vehicles, 27.253676707129294%, 690458000
4x4s, 0.14209877522697317%, 3600000
Automobiles, 1.3025721062472542%, 33000000
Boats, 0.08683814041648362%, 2200000
Electric vehicles, 0.03947188200749255%, 1000000
Hybrids, 0.037893006727192854%, 960000
Lorries, 0.27630317405244786%, 7000000
Motorcycles, 0.28419755045394635%, 7200000
Motorhomes, 0.006710219941273733%, 170000
People carriers, 0.023683129204495532%, 600000
Scooters, 0.021314816284045978%, 540000
Beauty, 3.485367181261592%, 88300000
Beauty salons, 0.5920782301123884%, 15000000
Cosmetics, 1.0262689321948064%, 26000000
Fragrances, 0.2486728566472031%, 6300000
Hair products, 0.5526063481048957%, 14000000
Spas, 0.5131344660974032%, 13000000
Tattoos, 0.5526063481048957%, 14000000
Clothing, 2.072273805393359%, 52500000
Children's clothing, 0.07104938761348659%, 1800000
Men's clothing, 0.38287725547267776%, 9700000
Shoes, 1.0262689321948064%, 26000000
Women's clothing, 0.5920782301123884%, 15000000
Fashion accessories, 1.6420302915116904%, 41600000
Dresses, 0.5131344660974032%, 13000000
Handbags, 0.27630317405244786%, 7000000
Jewellery, 0.6315501121198808%, 16000000
Sunglasses, 0.22104253924195827%, 5600000
Shopping, 3.6787794030983063%, 93200000
Boutiques, 0.5920782301123884%, 15000000
Coupons, 0.5920782301123884%, 15000000
Discount shops, 0.17367628083296724%, 4400000
Luxury goods, 0.5131344660974032%, 13000000
Online shopping, 1.499931516284717%, 38000000
Shopping centres, 0.3078806796584419%, 7800000
Toys, 0.3947188200749256%, 10000000
Outdoor recreation, 0.7614126039245314%, 19290000
Boating, 0.015394033982922096%, 390000
Camping, 0.14999315162847168%, 3800000
Fishing, 0.1223628342232269%, 3100000
Horseback riding, 0.10262689321948065%, 2600000
Hunting, 0.14604596342772244%, 3700000
Mountain biking, 0.047366258408991065%, 1200000
Surfing, 0.17762346903371648%, 4500000
Sports, 12.998011801303283%, 329298000
American football, 0.3947188200749256%, 10000000
Baseball, 0.9078532861723286%, 23000000
Basketball, 0.8683814041648361%, 22000000
Car racing, 0.2526200448479523%, 6400000
College football, 0.14999315162847168%, 3800000
Football, 1.9735941003746278%, 50000000
Golf, 0.14999315162847168%, 3800000
Marathons, 0.11841564602247764%, 3000000
Skiing, 0.07499657581423584%, 1900000
Snowboarding, 0.07499657581423584%, 1900000
Swimming, 0.17367628083296724%, 4400000
Tennis, 0.5526063481048957%, 14000000
Triathlons, 0.023288410384420605%, 590000
Volleyball, 0.37103569087043%, 9400000
Computers, 2.479228908890607%, 62810000
Computer memory, 0.010262689321948064%, 260000
Computer monitors, 0.11052126962097913%, 2800000
Computer processors, 0.10657408142022988%, 2700000
Computer servers, 0.08683814041648362%, 2200000
Desktop computers, 0.11446845782172839%, 2900000
Free software, 0.6315501121198808%, 16000000
Hard drives, 0.05526063481048957%, 1400000
